	sentence_index	TEXT	LABEL	SPLITSET_LABEL
25	26	scores a few points for doing what it does with a dedicated and good hearted professionalism	0.72222	2
26	27	occasionally melodramatic , it 's also extremely effective	0.77778	2
27	28	an idealistic love story that brings out the latent 15 year old romantic in everyone	0.68056	2
28	29	at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story	0.73611	2
29	30	however , it lacks grandeur and that epic quality often associated with stevenson 's tale as well as with earlier disney efforts	0.25	2
30	31	it helps that lil bow wow tones down his pint sized gangsta act to play someone who resembles a real kid	0.76389	2
31	32	guaranteed to move anyone who ever shook , rattled , or rolled	0.83333	2
32	33	a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview	0.90278	2
33	34	light , cute and forgettable	0.59722	2
34	35	if there 's a way to effectively teach kids about the dangers of drugs , i think it 's in projects like the ( unfortunately r rated ) paid	0.69444	2
35	36	while it would be easy to give crush the new title of two weddings and a funeral , it 's a far more thoughtful film than any slice of hugh grant whimsy	0.75	2
36	37	though everything might be literate and smart , it never took off and always seemed static	0.33333	2
37	38	cantet perfectly captures the hotel lobbies , two lane highways , and roadside cafes that permeate vincent 's days	0.69444	2
38	39	ms fulford wierzbicki is almost spooky in her sulky , calculating lolita turn	0.625	2
39	40	though it is by no means his best work , laissez passer is a distinguished and distinctive effort by a bona fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them	0.65278	2
40	41	like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike	0.31944	2
41	42	a heavy reliance on cgi technology is beginning to creep into the series	0.40278	2
42	43	newton draws our attention like a magnet , and acts circles around her better known co star , mark wahlberg	0.90278	2
43	44	the story loses its bite in a last minute happy ending that 's even less plausible than the rest of the picture	0.11111	2
44	45	much of the way , though , this is a refreshingly novel ride	0.81944	2
45	46	fuller would surely have called this gutsy and at times exhilarating movie a great yarn	0.97222	2
46	47	the film makes a strong case for the importance of the musicians in creating the motown sound	0.70833	2
47	48	karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat	0.58333	2
48	49	gosling provides an amazing performance that dwarfs everything else in the film	0.98611	2
49	50	a real movie , about real people , that gives us a rare glimpse into a culture most of us do n't know	0.77778	2
50	51	tender yet lacerating and darkly funny fable	0.80556	2
51	52	may be spoofing an easy target those old ' 50 's giant creature features but it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today	0.65278	2
52	53	an engaging overview of johnson 's eccentric career	0.77778	2
53	54	in its ragged , cheap and unassuming way , the movie works	0.65278	2
54	55	some actors have so much charisma that you 'd be happy to listen to them reading the phone book	0.76389	2
55	56	hugh grant and sandra bullock are two such likeable actors	0.875	2
56	57	sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self absorbed martha as her heart begins to open	0.79167	2
57	58	behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka wrapped dose of heart	0.75	2
58	59	everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse	0.73611	2
59	60	manages to be original , even though it rips off many of its ideas	0.54167	2
60	61	singer composer bryan adams contributes a slew of songs a few potential hits , a few more simply intrusive to the story but the whole package certainly captures the intended , er , spirit of the piece	0.625	1
61	62	you 'd think by now america would have had enough of plucky british eccentrics with hearts of gold	0.5	1
62	63	yet the act is still charming here	0.72222	1
63	64	whether or not you 're enlightened by any of derrida 's lectures on `` the other '' and `` the self , '' derrida is an undeniably fascinating and playful fellow	0.83333	1
64	65	a pleasant enough movie , held together by skilled ensemble actors	0.66667	2
65	66	this is the best american movie about troubled teens since 1998 's whatever	0.77778	2
66	67	disney has always been hit or miss when bringing beloved kids ' books to the screen tuck everlasting is a little of both	0.54167	2
67	68	just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing	0.875	1
68	69	the animated subplot keenly depicts the inner struggles of our adolescent heroes insecure , uncontrolled , and intense	0.66667	2
69	70	the invincible werner herzog is alive and well and living in la	0.70833	2
70	71	morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start	0.52778	2
71	72	part of the charm of satin rouge is that it avoids the obvious with humour and lightness	0.72222	1
72	73	son of the bride may be a good half hour too long but comes replete with a flattering sense of mystery and quietness	0.34722	2
73	74	a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them	0.75	2
74	75	a taut , intelligent psychological drama	0.80556	2
75	76	a truly moving experience , and a perfect example of how art when done right can help heal , clarify , and comfort	0.875	2
76	77	this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director	0.91667	2
77	78	at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance	0.83333	2
78	79	the appearance of treebeard and gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes	0.51389	2
79	80	i loved it !	0.93056	2
80	81	gollum 's ` performance ' is incredible !	0.91667	2
81	82	a screenplay more ingeniously constructed than `` memento ''	0.83333	1
82	83	if this movie were a book , it would be a page turner , you ca n't wait to see what happens next	0.90625	2
83	84	haneke challenges us to confront the reality of sexual aberration	0.61111	2
84	85	absorbing and disturbing perhaps more disturbing than originally intended but a little clarity would have gone a long way	0.36111	2
85	86	it 's the best film of the year so far , the benchmark against which all other best picture contenders should be measured	1.0	2
86	87	painful to watch , but viewers willing to take a chance will be rewarded with two of the year 's most accomplished and riveting film performances	0.66667	2
87	88	this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border	0.76389	2
88	89	a few artsy flourishes aside , narc is as gritty as a movie gets these days	0.52778	2
89	90	while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at	0.61111	2
90	91	together , tok and o orchestrate a buoyant , darkly funny dance of death	0.84722	2
91	92	in the process , they demonstrate that there 's still a lot of life in hong kong cinema	0.72222	2
92	93	director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english language movie , the overpraised elizabeth	0.68056	2
93	94	the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes	0.93056	2
94	95	a sports movie with action that 's exciting on the field and a story you care about off it	0.86111	2
95	96	doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses damon 's ability to be focused and sincere	0.84722	2
96	97	the tenderness of the piece is still intact	0.80556	2
97	98	katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel to reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself	0.76389	2
98	99	like the film 's almost anthropologically detailed realization of early '80s suburbia , it 's significant without being overstated	0.73611	2
99	100	while mcfarlane 's animation lifts the film firmly above the level of other coming of age films it 's also so jarring that it 's hard to get back into the boys ' story	0.375	2
100	101	if nothing else , this movie introduces a promising , unusual kind of psychological horror	0.75	2
101	102	in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel	0.19444	2
102	103	but in imax 3 d , the cliches disappear into the vertiginous perspectives opened up by the photography	0.68056	2
103	104	writer director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear	0.73611	2
104	105	a roller coaster ride of a movie	0.81944	2
105	106	i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory	0.44444	2
106	107	chicago is sophisticated , brash , sardonic , completely joyful in its execution	0.90278	2
107	108	steve irwin 's method is ernest hemmingway at accelerated speed and volume	0.66667	2
108	109	a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters	0.875	2
109	110	on the surface , it 's a lovers on the run crime flick , but it has a lot in common with piesiewicz 's and kieslowski 's earlier work , films like the double life of veronique	0.61111	2
110	111	the values that have held the enterprise crew together through previous adventures and perils do so again courage , self sacrifice and patience under pressure	0.70833	2
111	112	if it 's possible for a sequel to outshine the original , then sl2 does just that	0.83333	2
112	113	a romantic comedy that operates by the rules of its own self contained universe	0.625	2
113	114	4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink it 's the ultimate redneck road trip	0.77778	2
114	115	the film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du sarcasm	0.97222	2
115	116	it might be tempting to regard mr andrew and his collaborators as oddballs , but mr earnhart 's quizzical , charming movie allows us to see them , finally , as artists	0.79167	2
116	117	a feel good picture in the best sense of the term	0.94444	2
117	118	edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery	0.63889	2
118	119	a mostly intelligent , engrossing and psychologically resonant suspenser	0.76389	2
119	120	it 's this memory as identity obviation that gives secret life its intermittent unease , reaffirming that long held illusions are indeed reality , and that erasing them recasts the self	0.58333	2
120	121	hip hop has a history , and it 's a metaphor for this love story	0.59722	2
121	122	in scope , ambition and accomplishment , children of the century takes kurys ' career to a whole new level	0.86111	2
122	123	this may not have the dramatic gut wrenching impact of other holocaust films , but it 's a compelling story , mainly because of the way it 's told by the people who were there	0.76389	2
123	124	between the drama of cube ?	0.5	2
124	125	s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results	0.83333	2
125	126	a gentle , compassionate drama about grief and healing	0.73611	2
126	127	somewhere short of tremors on the modern b scene neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes	0.26389	2
127	128	digital video documentary about stand up comedians is a great glimpse into a very different world	0.79167	2
128	129	unlike most teen flicks , swimming takes its time to tell its story , casts mostly little known performers in key roles , and introduces some intriguing ambiguity	0.54167	2
129	130	an enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to	0.63889	2
130	131	`` extreme ops '' exceeds expectations	0.73611	1
131	132	good fun , good action , good acting , good dialogue , good pace , good cinematography	0.90278	1
132	133	you should pay nine bucks for this because you can hear about suffering afghan refugees on the news and still be unaffected	0.44444	1
133	134	dramas like this make it human	0.80556	1
134	135	a thunderous ride at first , quiet cadences of pure finesse are few and far between their shortage dilutes the potency of otherwise respectable action	0.44444	1
135	136	still , this flick is fun , and host to some truly excellent sequences	0.81944	1
136	137	it 's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world	0.88889	2
137	138	run , do n't walk , to see this barbed and bracing comedy on the big screen	0.90278	2
138	139	a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done	0.83333	2
139	140	it is nature against progress	0.5	2
140	141	in fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale	0.68056	2
141	142	it 's not exactly a gourmet meal but the fare is fair , even coming from the drive thru	0.70833	2
142	143	this is what imax was made for strap on a pair of 3 d goggles , shut out the real world , and take a vicarious voyage to the last frontier space	0.88889	2
143	144	merely as a technical , logistical feat , russian ark marks a cinematic milestone	0.77778	2
144	145	( schweiger is ) talented and terribly charismatic , qualities essential to both movie stars and social anarchists	0.70833	2
145	146	it 's a great deal of sizzle and very little steak	0.25	2
146	147	but what spectacular sizzle it is !	0.86111	2
147	148	in this incarnation its fizz is infectious	0.84722	2
148	149	an original gem about an obsession with time	0.72222	2
149	150	it will delight newcomers to the story and those who know it from bygone days	0.90278	2
150	151	gloriously goofy ( and gory ) midnight movie stuff	0.73611	2
151	152	the film overcomes the regular minefield of coming of age cliches with potent doses of honesty and sensitivity	0.80556	2
152	153	if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket	0.79167	2
153	154	it 's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene	0.61111	2
154	155	it is intensely personal and yet unlike quills deftly shows us the temper of the times	0.81944	2
155	156	as lo fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten	0.66667	2
156	157	like mike does n't win any points for originality	0.29167	2
157	158	it does succeed by following a feel good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism	0.70833	2
158	159	it 's a hoot and a half , and a great way for the american people to see what a candidate is like when he 's not giving the same 15 cent stump speech	0.79167	2
159	160	far from perfect , but its heart is in the right place innocent and well meaning	0.69444	2
160	161	a sad , superior human comedy played out on the back roads of life	0.72222	2
161	162	waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality	0.81944	2
162	163	tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy	0.86111	2
163	164	more a load of enjoyable , conan esque claptrap than the punishing , special effects soul assaults the mummy pictures represent	0.625	2
164	165	enormously likable , partly because it is aware of its own grasp of the absurd	0.72222	2
165	166	here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you	0.68056	2
166	167	it 's an old story , but a lively script , sharp acting and partially animated interludes make just a kiss seem minty fresh	0.77778	2
167	168	must be seen to be believed	0.70833	2
168	169	ray liotta and jason patric do some of their best work in their underwritten roles , but do n't be fooled nobody deserves any prizes here	0.25	2
169	170	everything that has to do with yvan and charlotte , and everything that has to do with yvan 's rambunctious , jewish sister and her non jew husband , feels funny and true	0.84722	2
170	171	the year 's happiest surprise , a movie that deals with a real subject in an always surprising way	0.90278	2
171	172	fans of behan 's work and of irish movies in general will be rewarded by borstal boy	0.80556	2
172	173	its mysteries are transparently obvious , and it 's too slowly paced to be a thriller	0.23611	2
173	174	( but it 's ) worth recommending because of two marvelous performances by michael caine and brendan fraser	0.86111	2
174	175	the film is faithful to what one presumes are the book 's twin premises that we become who we are on the backs of our parents , but we have no idea who they were at our age and that time is a fleeting and precious commodity no matter how old you are	0.77778	2
175	176	stephen earnhart 's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens	0.77778	2
176	177	a solidly seaworthy chiller	0.68056	2
177	178	if you can get past the fantastical aspects and harsh realities of `` the isle '' you 'll get a sock you in the eye flick that is a visual tour de force and a story that is unlike any you will likely see anywhere else	0.75	2
178	179	there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it 's a welcome return to the roots of a genre that should depend on surprises	0.77778	2
179	180	a well made thriller with a certain level of intelligence and non reactionary morality	0.83333	2
180	181	there 's enough science to make it count as educational , and enough beauty to make it unforgettable	0.79167	2
181	182	remains a solid , if somewhat heavy handed , account of the near disaster done up by howard with a steady , if not very imaginative , hand	0.55556	2
182	183	makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of iran 's borderlands	0.61111	2
183	184	for a good chunk of its running time , trapped is an effective and claustrophobic thriller	0.76389	2
184	185	most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness	0.72222	2
185	186	nair does capture the complexity of a big family and its trials and tribulations	0.77778	2
186	187	the seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going	0.43056	2
187	188	rare is the ` urban comedy ' that even attempts the insight and honesty of this disarming indie	0.875	2
188	189	ranks among willams ' best screen work	0.93056	2
189	190	engagingly captures the maddening and magnetic ebb and flow of friendship	0.83333	2
190	191	an experience so engrossing it is like being buried in a new environment	0.79167	2
191	192	it 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit	0.83333	2
192	193	maybe it 's just because this past year has seen the release of some of the worst film comedies in decades but honestly , analyze that really is n't all that bad	0.5	2
193	194	a droll , well acted , character driven comedy with unexpected deposits of feeling	0.76389	2
194	195	this is simply the most fun you 'll ever have with a documentary !	0.95833	2
195	196	a very funny movie	0.88889	2
196	197	watching haneke 's film is , aptly enough , a challenge and a punishment	0.083333	2
197	198	but watching huppert , a great actress tearing into a landmark role , is riveting	0.84722	2
198	199	a cop story that understands the medium amazingly well	0.75	2
199	200	britney has been delivered to the big screen safe and sound , the way we like our 20 year old superstar girls to travel on the fame freeway	0.76389	2
200	201	those outside show business will enjoy a close look at people they do n't really want to know	0.625	2
201	202	the kind of nervous film that will either give you a mild headache or exhilarate you	0.40278	2
202	203	watching beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it	0.70833	2
203	204	children may not understand everything that happens i 'm not sure even miyazaki himself does but they will almost certainly be fascinated , and undoubtedly delighted	0.80556	2
204	205	a fascinating and fun film	0.86111	2
205	206	tadpole is a sophisticated , funny and good natured treat , slight but a pleasure	0.81944	2
206	207	this insightful , oscar nominated documentary , in which children on both sides of the ever escalating conflict have their say away from watchful parental eyes , gives peace yet another chance	0.69444	2
207	208	i admired this work a lot	0.83333	2
208	209	whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something	0.66667	2
209	210	there are enough moments of heartbreaking honesty to keep one glued to the screen	0.90278	2
210	211	my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts	0.77778	2
211	212	she must have a very strong back	0.625	2
212	213	a smart , sweet and playful romantic comedy	0.83333	2
213	214	australian actor director john polson and award winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation	0.75	1
214	215	without heavy handedness , dong provides perspective with his intelligent grasp of human foibles and contradictions	0.75	2
215	216	solid , lump in the throat family entertainment that derives its power by sticking to the facts	0.76389	2
216	217	as an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting	0.83333	2
217	218	it is interesting and fun to see goodall and her chimpanzees on the bigger than life screen	0.77778	2
218	219	it wo n't bust your gut and it 's not intended to it 's merely a blandly cinematic surgical examination of what makes a joke a joke	0.45833	2
219	220	a somewhat crudely constructed but gripping , questing look at a person so racked with self loathing , he becomes an enemy to his own race	0.70833	2
220	221	it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya	0.76389	2
221	222	narc may not get an ` a ' for originality , but it wears its b movie heritage like a badge of honor	0.69444	2
222	223	with the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved	0.88889	2
223	224	( drumline ) is entertaining for what it does , and admirable for what it does n't do	0.72222	2
224	225	at its best early on as it plays the culture clashes between the brothers	0.72222	2
225	226	an unabashedly schmaltzy and thoroughly enjoyable true story	0.76389	2
226	227	a thoughtful look at a painful incident that made headlines in 1995	0.72222	2
227	228	you walk out of the good girl with mixed emotions disapproval of justine combined with a tinge of understanding for her actions	0.61111	1
228	229	tsai ming liang has taken his trademark style and refined it to a crystalline point	0.77778	2
229	230	purely propaganda , a work of unabashed hero worship , it is nonetheless and likely inadvertently a timely and invaluable implicit reminder of the role that u s foreign policy has played in the rise of castro	0.43056	2
230	231	now trimmed by about 20 minutes , this lavish three year old production has enough grandeur and scale to satisfy as grown up escapism	0.77778	2
231	232	we get some truly unique character studies and a cross section of americana that hollywood could n't possibly fictionalize and be believed	0.625	2
232	233	though this film can be clumsy , its ambitions are equally and admirably uncommercial	0.48611	2
233	234	daring , mesmerizing and exceedingly hard to forget	0.91667	2
234	235	moore 's performance impresses almost as much as her work with haynes in 1995 's safe	0.68056	2
235	236	visits spy movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last	0.91667	2
236	237	an absorbing , slice of depression life that touches nerves and rings true	0.77778	2
237	238	mr parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom	0.93056	2
238	239	the result is something quite fresh and delightful	0.875	2
239	240	all but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure	0.73611	2
240	241	despite its many infuriating flaws not the least of which is amy 's self absorbed personality amy 's o 's honesty will win you over	0.52778	2
241	242	this is one of polanski 's best films	0.91667	2
242	243	day is not a great bond movie , but it is a good bond movie , which still makes it much better than your typical bond knock offs	0.72222	2
243	244	polished korean political action film is just as good and bad as hollywood action epics	0.5	2
244	245	is this progress ?	0.38889	2
245	246	elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone	0.75	2
246	247	denis and co writer michele petin 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing	0.84722	2
247	248	lead provocatuers testud and parmentier give superlative performances	0.94444	2
248	249	an absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood	0.76389	2
249	250	i admired it , particularly that unexpected downer of an ending	0.70833	2
250	251	the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air	0.88889	2
251	252	remarkably accessible and affecting	0.80556	2
252	253	never mind whether you buy the stuff about barris being a cia hit man	0.29167	2
253	254	the kooky yet shadowy vision clooney sustains throughout is daring , inventive and impressive	0.88889	2
254	255	a triumph of art direction over narrative , but what art direction !	0.90278	2
255	256	behan himself knew how to spin a tale and one ca n't help but think he 'd appreciate this attempt to turn his life into art	0.59722	2
256	257	jiri hubac 's script is a gem	0.84722	2
257	258	his characters are engaging , intimate and the dialogue is realistic and greatly moving	0.83333	2
258	259	the scope of the silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality	0.77778	2
259	260	moore 's complex and important film is also , believe it or not , immensely entertaining , a david and goliath story that 's still very much playing itself out	0.84722	2
260	261	the additional storyline is interesting and entertaining , but it does n't have the same magical quality as the beginning of the story	0.48611	2
261	262	i like the new footage and still love the old stuff	0.81944	2
262	263	though mama takes a bit too long to find its rhythm and a third act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium	0.69444	2
263	264	you might not buy the ideas	0.38889	2
264	265	but you 'll definitely want the t shirt	0.58333	2
265	266	provides an intriguing window into the imagination and hermetic analysis of todd solondz	0.83333	2
266	267	windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live	0.69444	2
267	268	presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it	0.77778	2
268	269	just what makes us happy , anyway ?	0.5	2
269	270	a thoughtful , moving piece that faces difficult issues with honesty and beauty	0.77778	2
270	271	one of the greatest romantic comedies of the past decade	0.97222	2
271	272	you would n't call the good girl a date movie ( an anti date movie is more like it ) , but when it 's good , it 's good and horrid	0.48611	2
272	273	benefits from a strong performance from zhao , but it 's dong jie 's face you remember at the end	0.68056	2
273	274	this is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever	0.77778	2
274	275	the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun	0.81944	2
275	276	it ultimately stands forth as an important chronicle of the abuses of one of latin america 's most oppressive regimes	0.59722	2
276	277	the movie has a soft , percolating magic , a deadpan suspense	0.86111	2
277	278	a well made and often lovely depiction of the mysteries of friendship	0.77778	2
278	279	using his audience as a figurative port of call , dong pulls his even handed ideological ship to their dock for unloading , before he continues his longer journey still ahead	0.51389	2
279	280	understands that a generation defines its music as much as the music defines a generation	0.55556	2
280	281	the transporter is as lively and as fun as it is unapologetically dumb	0.69444	2
281	282	as a witness to several greek american weddings but , happily , a victim of none i can testify to the comparative accuracy of ms vardalos ' memories and insights	0.72222	2
282	283	has it ever been possible to say that williams has truly inhabited a character ?	0.36111	2
283	284	it is now	0.5	2
284	285	by presenting an impossible romance in an impossible world , pumpkin dares us to say why either is impossible which forces us to confront what 's possible and what we might do to make it so	0.76389	2
285	286	an impressive debut for first time writer director mark romanek , especially considering his background is in music video	0.83333	2
286	287	an incendiary , deeply thought provoking look at one of the most peculiar ( and peculiarly venomous ) bigotries in our increasingly frightening theocracy	0.88889	2
287	288	all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit	0.80556	2
288	289	`` its successes are also tempered with elements which prove the direct antithesis of what it gets right ''	0.40278	2
289	290	it 's solid and affecting and exactly as thought provoking as it should be	0.86111	2
290	291	this is such a dazzlingly self assured directorial debut that it 's hard to know what to praise first	0.79167	2
291	292	parker holds true to wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness	0.90278	2
292	293	munch 's genuine insight makes the film 's occasional overindulgence forgivable	0.70833	2
293	294	thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality takes a tongue in cheek attitude even as it pushes the croc hunter agenda	0.52778	2
294	295	ultimately , the message of trouble every day seems to be that all sexual desire disrupts life 's stasis	0.51389	2
295	296	if you 're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite	0.93056	2
296	297	the film has just enough of everything re enactments , archival footage , talking head interviews and the music is simply sublime	0.86111	2
297	298	there are a few stabs at absurdist comedy but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an iranian specialty	0.70833	2
298	299	a wonderful character based comedy	0.83333	2
299	300	it would be interesting to hear from the other side , but in talk to her , the women are down for the count	0.45833	2
300	301	an endearingly offbeat romantic comedy with a great meet cute gimmick	0.84722	2
301	302	the unique tug of war with viewer expectations is undeniable , if not a pleasure in its own right	0.875	2
302	303	it uses an old time formula , it 's not terribly original and it 's rather messy but you just have to love the big , dumb , happy movie my big fat greek wedding	0.77778	2
303	304	it 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring epilogue in post soviet russia	0.83333	2
304	305	who knows what exactly godard is on about in this film , but his words and images do n't have to add up to mesmerize you	0.70833	2
305	306	the tone is balanced , reflective and reasonable	0.61111	2
306	307	the principals in this cast are all fine , but bishop and stevenson are standouts	0.81944	2
307	308	it could change america , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment	0.875	2
308	309	what 's most striking about this largely celebratory film is the sense of isolation that permeates these bastions of individuality in an ikea world	0.73611	2
309	310	if you 're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games	0.86111	2
310	311	somewhat blurred , but kinnear 's performance is razor sharp	0.84722	2
311	312	as a director , mr ratliff wisely rejects the temptation to make fun of his subjects	0.52778	2
312	313	for anyone who remembers the '60s or is interested in one man 's response to stroke , ram dass fierce grace is worth seeking out	0.83333	2
313	314	intriguing and beautiful film , but those of you who read the book are likely to be disappointed	0.75	2
314	315	the new guy does have a heart	0.73611	2
